time,ts_utc,ts_et,open,high,low,close,volume
1750024800,2025-06-15 22:00:00+00:00,2025-06-15 18:00:00,21566.5,21836.2,21505,21821.2,11008
1750025700,2025-06-15 22:15:00+00:00,2025-06-15 18:15:00,21605,21853.8,21593.8,21846.2,5743
1750026600,2025-06-15 22:30:00+00:00,2025-06-15 18:30:00,21847.5,21904.2,21625,21889.5,6272
1750027500,2025-06-15 22:45:00+00:00,2025-06-15 18:45:00,21889.2,21891,21643,21650,4084
1750028400,2025-06-15 23:00:00+00:00,2025-06-15 19:00:00,21864,21887,21612,21627,6147
1750029300,2025-06-15 23:15:00+00:00,2025-06-15 19:15:00,21625.8,21862.8,21612.5,21631,4840
1750030200,2025-06-15 23:30:00+00:00,2025-06-15 19:30:00,21631,21909,21624,21900.8,5724
1750031100,2025-06-15 23:45:00+00:00,2025-06-15 19:45:00,21686.8,21916,21674.2,21687.2,2804
1750032000,2025-06-16 00:00:00+00:00,2025-06-15 20:00:00,21903.5,21921.2,21683,21917.2,4170
1750032900,2025-06-16 00:15:00+00:00,2025-06-15 20:15:00,21917,21919,21666.2,21895.2,5136
1750033800,2025-06-16 00:30:00+00:00,2025-06-15 20:30:00,21678.2,21916.2,21659.8,21696.8,3639
1750034700,2025-06-16 00:45:00+00:00,2025-06-15 20:45:00,21913.8,21915,21680,21693.8,1973
1750035600,2025-06-16 01:00:00+00:00,2025-06-15 21:00:00,21910.2,21917.8,21896.2,21899.8,2630
1750036500,2025-06-16 01:15:00+00:00,2025-06-15 21:15:00,21683.2,21905.5,21665.5,21892.2,2294
1750037400,2025-06-16 01:30:00+00:00,2025-06-15 21:30:00,21892,21912.2,21684,21685,1584
1750038300,2025-06-16 01:45:00+00:00,2025-06-15 21:45:00,21685.8,21913.5,21678.5,21904.8,1324
1750039200,2025-06-16 02:00:00+00:00,2025-06-15 22:00:00,21905.2,21916.5,21680.8,21916,1495
1750040100,2025-06-16 02:15:00+00:00,2025-06-15 22:15:00,21916.2,21933,21699,21700,3673
1750041000,2025-06-16 02:30:00+00:00,2025-06-15 22:30:00,21700.5,21928.2,21697.2,21928,1377
1750041900,2025-06-16 02:45:00+00:00,2025-06-15 22:45:00,21927.8,21930,21701,21704.5,1129
1750042800,2025-06-16 03:00:00+00:00,2025-06-15 23:00:00,21704,21925,21694.5,21922,1195
1750043700,2025-06-16 03:15:00+00:00,2025-06-15 23:15:00,21922,21923.8,21693.8,21911.5,1155
1750044600,2025-06-16 03:30:00+00:00,2025-06-15 23:30:00,21694.5,21911,21679.8,21683.8,1890
1750045500,2025-06-16 03:45:00+00:00,2025-06-15 23:45:00,21683.8,21909.2,21679.5,21691.2,1176
1750046400,2025-06-16 04:00:00+00:00,2025-06-16 00:00:00,21908.2,21916.2,21689.8,21914.8,988
1750047300,2025-06-16 04:15:00+00:00,2025-06-16 00:15:00,21697.2,21917.2,21683,21906,1408
1750048200,2025-06-16 04:30:00+00:00,2025-06-16 00:30:00,21906,21907.2,21669,21673.8,1802
1750049100,2025-06-16 04:45:00+00:00,2025-06-16 00:45:00,21673.8,21900.8,21672,21681.2,899
1750050000,2025-06-16 05:00:00+00:00,2025-06-16 01:00:00,21682,21913.8,21680.8,21694.2,1566
1750050900,2025-06-16 05:15:00+00:00,2025-06-16 01:15:00,21912,21943.5,21694.2,21942,2895
1750051800,2025-06-16 05:30:00+00:00,2025-06-16 01:30:00,21724.5,21955.8,21716.8,21728.2,3366
1750052700,2025-06-16 05:45:00+00:00,2025-06-16 01:45:00,21729,21942.2,21711,21935,1610
1750053600,2025-06-16 06:00:00+00:00,2025-06-16 02:00:00,21934.5,21962.8,21712.8,21954.2,2706
1750054500,2025-06-16 06:15:00+00:00,2025-06-16 02:15:00,21954,21970,21737.8,21961,2586
1750055400,2025-06-16 06:30:00+00:00,2025-06-16 02:30:00,21961.2,21971.8,21733,21961.8,2649
1750056300,2025-06-16 06:45:00+00:00,2025-06-16 02:45:00,21962.2,21973.2,21736.5,21966.5,1917
1750057200,2025-06-16 07:00:00+00:00,2025-06-16 03:00:00,21966.5,21997,21754.5,21995.2,4996
1750058100,2025-06-16 07:15:00+00:00,2025-06-16 03:15:00,21994.8,22001.2,21773.8,21984.5,4150
1750059000,2025-06-16 07:30:00+00:00,2025-06-16 03:30:00,21984.5,22004.8,21773.5,21992.5,4037
1750059900,2025-06-16 07:45:00+00:00,2025-06-16 03:45:00,21992.5,22010.8,21770,21783.8,3061
1750060800,2025-06-16 08:00:00+00:00,2025-06-16 04:00:00,22003.5,22005.2,21756.8,21986.5,4726
1750061700,2025-06-16 08:15:00+00:00,2025-06-16 04:15:00,21986,21999,21974,21995.5,2245
1750062600,2025-06-16 08:30:00+00:00,2025-06-16 04:30:00,21995.5,22013.2,21781.8,21784.5,3429
1750063500,2025-06-16 08:45:00+00:00,2025-06-16 04:45:00,22007.8,22009.2,21782.5,22004.5,1652
1750064400,2025-06-16 09:00:00+00:00,2025-06-16 05:00:00,22004,22011.5,21745,21747.2,3411
1750065300,2025-06-16 09:15:00+00:00,2025-06-16 05:15:00,21969.5,21988,21750,21751.8,2971
1750066200,2025-06-16 09:30:00+00:00,2025-06-16 05:30:00,21975.5,21976.8,21954,21965,3187
1750067100,2025-06-16 09:45:00+00:00,2025-06-16 05:45:00,21964.2,21977.2,21956.8,21969.5,2098
1750068000,2025-06-16 10:00:00+00:00,2025-06-16 06:00:00,21748.2,21981.8,21740.8,21977.5,2751
1750068900,2025-06-16 10:15:00+00:00,2025-06-16 06:15:00,21977,21985,21757.5,21979.8,1580
1750069800,2025-06-16 10:30:00+00:00,2025-06-16 06:30:00,21980.5,21987,21746.2,21970.8,2339
1750070700,2025-06-16 10:45:00+00:00,2025-06-16 06:45:00,21970.5,22004.8,21766,22004.8,3210
1750071600,2025-06-16 11:00:00+00:00,2025-06-16 07:00:00,22004,22004.8,21756.5,21979,3507
1750072500,2025-06-16 11:15:00+00:00,2025-06-16 07:15:00,21979.5,21996.2,21761.8,21991,2750
1750073400,2025-06-16 11:30:00+00:00,2025-06-16 07:30:00,21991,22022,21774,22015.2,4010
1750074300,2025-06-16 11:45:00+00:00,2025-06-16 07:45:00,21793.2,22033.2,21793.2,22033.2,4365
1750075200,2025-06-16 12:00:00+00:00,2025-06-16 08:00:00,22032.8,22046.2,22023,22039,5030
1750076100,2025-06-16 12:15:00+00:00,2025-06-16 08:15:00,22038.8,22062.8,22038.5,22050.5,5500
1750077000,2025-06-16 12:30:00+00:00,2025-06-16 08:30:00,22051.5,22059.5,22032.2,22042.2,5769
1750077900,2025-06-16 12:45:00+00:00,2025-06-16 08:45:00,22042.2,22049.2,22033.8,22035.5,3296
1750078800,2025-06-16 13:00:00+00:00,2025-06-16 09:00:00,22036,22049.5,22030.2,22042,5801
1750079700,2025-06-16 13:15:00+00:00,2025-06-16 09:15:00,22042.2,22043.5,22011.8,22016.5,8225
1750080600,2025-06-16 13:30:00+00:00,2025-06-16 09:30:00,22014.8,22098.8,22013.5,22084,47735
1750081500,2025-06-16 13:45:00+00:00,2025-06-16 09:45:00,22085,22168,22061.8,22151.5,50035
1750082400,2025-06-16 14:00:00+00:00,2025-06-16 10:00:00,22152,22187.5,22143.5,22182,34063
1750083300,2025-06-16 14:15:00+00:00,2025-06-16 10:15:00,22182.5,22200.5,22173,22197,23504
1750084200,2025-06-16 14:30:00+00:00,2025-06-16 10:30:00,22197,22208.5,22177.8,22198.5,22040
1750085100,2025-06-16 14:45:00+00:00,2025-06-16 10:45:00,22198.8,22216.5,22171.2,22184,19403
1750086000,2025-06-16 15:00:00+00:00,2025-06-16 11:00:00,22183.8,22207.5,22177,22201.5,18922
1750086900,2025-06-16 15:15:00+00:00,2025-06-16 11:15:00,22202,22224.5,22182.2,22188.5,21472
1750087800,2025-06-16 15:30:00+00:00,2025-06-16 11:30:00,22188.2,22203.8,22184,22192.2,13347
1750088700,2025-06-16 15:45:00+00:00,2025-06-16 11:45:00,22191.8,22205.5,22155.2,22171.2,17400
1750089600,2025-06-16 16:00:00+00:00,2025-06-16 12:00:00,22172,22188.2,22158.2,22184,16100
1750090500,2025-06-16 16:15:00+00:00,2025-06-16 12:15:00,22183.8,22195.2,22163,22167.2,13522
1750091400,2025-06-16 16:30:00+00:00,2025-06-16 12:30:00,22167.8,22176,22146,22150.5,13329
1750092300,2025-06-16 16:45:00+00:00,2025-06-16 12:45:00,22150.2,22181.5,22143.8,22164,13300
1750093200,2025-06-16 17:00:00+00:00,2025-06-16 13:00:00,22164.2,22172,22148.8,22155.2,11581
1750094100,2025-06-16 17:15:00+00:00,2025-06-16 13:15:00,22155.5,22206,22148.8,22196,15031
1750095000,2025-06-16 17:30:00+00:00,2025-06-16 13:30:00,22196.2,22209.8,22181,22183.2,12809
1750095900,2025-06-16 17:45:00+00:00,2025-06-16 13:45:00,22182.8,22194.2,22158,22165,12552
1750096800,2025-06-16 18:00:00+00:00,2025-06-16 14:00:00,22165.5,22184.5,22162.2,22174.5,10541
1750097700,2025-06-16 18:15:00+00:00,2025-06-16 14:15:00,22174.5,22182.2,22159.5,22173.2,9442
1750098600,2025-06-16 18:30:00+00:00,2025-06-16 14:30:00,22173.2,22176.8,22153.5,22159.5,9129
1750099500,2025-06-16 18:45:00+00:00,2025-06-16 14:45:00,22159.5,22178,22136.5,22167.2,16383
1750100400,2025-06-16 19:00:00+00:00,2025-06-16 15:00:00,22167,22173.8,22141,22152,13791
1750101300,2025-06-16 19:15:00+00:00,2025-06-16 15:15:00,22152.2,22181.8,22141.2,22165.2,18019
1750102200,2025-06-16 19:30:00+00:00,2025-06-16 15:30:00,22165.8,22171.8,22151.8,22163.2,12605
1750103100,2025-06-16 19:45:00+00:00,2025-06-16 15:45:00,22163.5,22185,22139.5,22176,33123
