time,ts_utc,ts_et,open,high,low,close
1753999200,2025-07-31 22:00:00+00:00,2025-07-31 18:00:00,23323.5,23347.5,23301.0,23323.0
1754000100,2025-07-31 22:15:00+00:00,2025-07-31 18:15:00,23321.5,23324.25,23296.25,23308.25
1754001000,2025-07-31 22:30:00+00:00,2025-07-31 18:30:00,23308.25,23317.75,23241.75,23272.5
1754001900,2025-07-31 22:45:00+00:00,2025-07-31 18:45:00,23272.5,23298.0,23267.5,23285.5
1754002800,2025-07-31 23:00:00+00:00,2025-07-31 19:00:00,23285.25,23309.75,23264.75,23305.0
1754003700,2025-07-31 23:15:00+00:00,2025-07-31 19:15:00,23305.25,23308.25,23274.5,23281.5
1754004600,2025-07-31 23:30:00+00:00,2025-07-31 19:30:00,23281.25,23300.0,23274.0,23281.25
1754005500,2025-07-31 23:45:00+00:00,2025-07-31 19:45:00,23281.25,23302.25,23281.25,23297.5
1754006400,2025-08-01 00:00:00+00:00,2025-07-31 20:00:00,23298.25,23303.25,23276.0,23280.25
1754007300,2025-08-01 00:15:00+00:00,2025-07-31 20:15:00,23279.75,23288.0,23231.5,23247.75
1754008200,2025-08-01 00:30:00+00:00,2025-07-31 20:30:00,23248.0,23290.0,23243.75,23281.0
1754009100,2025-08-01 00:45:00+00:00,2025-07-31 20:45:00,23281.25,23283.5,23257.0,23279.75
1754010000,2025-08-01 01:00:00+00:00,2025-07-31 21:00:00,23279.75,23302.75,23272.25,23298.5
1754010900,2025-08-01 01:15:00+00:00,2025-07-31 21:15:00,23298.25,23320.0,23297.0,23314.25
1754011800,2025-08-01 01:30:00+00:00,2025-07-31 21:30:00,23314.25,23328.25,23313.0,23324.25
1754012700,2025-08-01 01:45:00+00:00,2025-07-31 21:45:00,23324.25,23325.75,23310.5,23322.5
1754013600,2025-08-01 02:00:00+00:00,2025-07-31 22:00:00,23321.75,23331.0,23314.5,23328.75
1754014500,2025-08-01 02:15:00+00:00,2025-07-31 22:15:00,23329.0,23336.5,23318.75,23327.25
1754015400,2025-08-01 02:30:00+00:00,2025-07-31 22:30:00,23326.25,23333.75,23316.0,23332.25
1754016300,2025-08-01 02:45:00+00:00,2025-07-31 22:45:00,23332.5,23339.5,23329.75,23332.25
1754017200,2025-08-01 03:00:00+00:00,2025-07-31 23:00:00,23332.75,23340.0,23326.0,23333.5
1754018100,2025-08-01 03:15:00+00:00,2025-07-31 23:15:00,23333.25,23339.0,23329.75,23336.75
1754019000,2025-08-01 03:30:00+00:00,2025-07-31 23:30:00,23336.75,23343.0,23315.25,23320.75
1754019900,2025-08-01 03:45:00+00:00,2025-07-31 23:45:00,23320.25,23325.0,23302.0,23304.0
1754020800,2025-08-01 04:00:00+00:00,2025-08-01 00:00:00,23304.25,23321.75,23296.25,23318.0
1754021700,2025-08-01 04:15:00+00:00,2025-08-01 00:15:00,23318.0,23321.75,23311.75,23315.25
1754022600,2025-08-01 04:30:00+00:00,2025-08-01 00:30:00,23315.5,23321.0,23308.75,23319.0
1754023500,2025-08-01 04:45:00+00:00,2025-08-01 00:45:00,23318.75,23319.5,23306.25,23318.75
1754024400,2025-08-01 05:00:00+00:00,2025-08-01 01:00:00,23318.75,23324.75,23312.0,23314.5
1754025300,2025-08-01 05:15:00+00:00,2025-08-01 01:15:00,23314.25,23317.75,23304.25,23306.75
1754026200,2025-08-01 05:30:00+00:00,2025-08-01 01:30:00,23306.75,23315.25,23297.5,23299.25
1754027100,2025-08-01 05:45:00+00:00,2025-08-01 01:45:00,23299.25,23303.0,23290.25,23292.75
1754028000,2025-08-01 06:00:00+00:00,2025-08-01 02:00:00,23293.25,23296.75,23273.0,23277.0
1754028900,2025-08-01 06:15:00+00:00,2025-08-01 02:15:00,23277.0,23284.0,23260.25,23261.25
1754029800,2025-08-01 06:30:00+00:00,2025-08-01 02:30:00,23261.5,23273.0,23256.0,23266.0
1754030700,2025-08-01 06:45:00+00:00,2025-08-01 02:45:00,23265.5,23279.75,23254.75,23269.25
1754031600,2025-08-01 07:00:00+00:00,2025-08-01 03:00:00,23268.75,23278.75,23225.75,23228.5
1754032500,2025-08-01 07:15:00+00:00,2025-08-01 03:15:00,23229.75,23231.0,23184.75,23185.0
1754033400,2025-08-01 07:30:00+00:00,2025-08-01 03:30:00,23185.0,23204.5,23142.0,23162.25
1754034300,2025-08-01 07:45:00+00:00,2025-08-01 03:45:00,23161.75,23176.75,23128.0,23169.75
1754035200,2025-08-01 08:00:00+00:00,2025-08-01 04:00:00,23169.25,23172.5,23128.25,23144.75
1754036100,2025-08-01 08:15:00+00:00,2025-08-01 04:15:00,23144.25,23164.5,23070.75,23083.5
1754037000,2025-08-01 08:30:00+00:00,2025-08-01 04:30:00,23082.75,23103.25,23062.25,23090.0
1754037900,2025-08-01 08:45:00+00:00,2025-08-01 04:45:00,23089.5,23128.0,23087.75,23114.25
1754038800,2025-08-01 09:00:00+00:00,2025-08-01 05:00:00,23113.5,23140.75,23106.0,23111.25
1754039700,2025-08-01 09:15:00+00:00,2025-08-01 05:15:00,23112.25,23126.0,23092.75,23093.5
1754040600,2025-08-01 09:30:00+00:00,2025-08-01 05:30:00,23094.0,23128.0,23085.0,23122.0
1754041500,2025-08-01 09:45:00+00:00,2025-08-01 05:45:00,23122.0,23134.0,23120.0,23126.5
1754042400,2025-08-01 10:00:00+00:00,2025-08-01 06:00:00,23126.75,23127.5,23085.25,23101.75
1754043300,2025-08-01 10:15:00+00:00,2025-08-01 06:15:00,23102.25,23111.0,23082.75,23103.0
1754044200,2025-08-01 10:30:00+00:00,2025-08-01 06:30:00,23102.75,23105.5,23063.25,23065.0
1754045100,2025-08-01 10:45:00+00:00,2025-08-01 06:45:00,23064.75,23080.25,23031.25,23055.25
1754046000,2025-08-01 11:00:00+00:00,2025-08-01 07:00:00,23055.5,23100.75,23051.0,23099.25
1754046900,2025-08-01 11:15:00+00:00,2025-08-01 07:15:00,23099.5,23111.75,23091.5,23104.0
1754047800,2025-08-01 11:30:00+00:00,2025-08-01 07:30:00,23103.5,23123.0,23097.5,23121.25
1754048700,2025-08-01 11:45:00+00:00,2025-08-01 07:45:00,23120.25,23129.5,23109.75,23125.5
1754049600,2025-08-01 12:00:00+00:00,2025-08-01 08:00:00,23126.0,23138.25,23112.25,23128.5
1754050500,2025-08-01 12:15:00+00:00,2025-08-01 08:15:00,23128.75,23131.25,23108.5,23125.5
1754051400,2025-08-01 12:30:00+00:00,2025-08-01 08:30:00,23125.75,23167.25,23060.25,23149.25
1754052300,2025-08-01 12:45:00+00:00,2025-08-01 08:45:00,23148.75,23148.75,23063.0,23069.0
1754053200,2025-08-01 13:00:00+00:00,2025-08-01 09:00:00,23068.5,23102.5,23057.25,23059.25
1754054100,2025-08-01 13:15:00+00:00,2025-08-01 09:15:00,23059.0,23088.75,23046.25,23088.25
1754055000,2025-08-01 13:30:00+00:00,2025-08-01 09:30:00,23088.25,23095.5,22917.75,22919.0
1754055900,2025-08-01 13:45:00+00:00,2025-08-01 09:45:00,22919.75,22929.5,22858.0,22882.0
1754056800,2025-08-01 14:00:00+00:00,2025-08-01 10:00:00,22879.75,22928.5,22799.25,22908.0
1754057700,2025-08-01 14:15:00+00:00,2025-08-01 10:15:00,22908.25,22984.75,22905.0,22984.75
1754058600,2025-08-01 14:30:00+00:00,2025-08-01 10:30:00,22984.75,23022.5,22954.5,22959.5
1754059500,2025-08-01 14:45:00+00:00,2025-08-01 10:45:00,22959.0,23012.25,22918.75,22929.75
1754060400,2025-08-01 15:00:00+00:00,2025-08-01 11:00:00,22929.75,22959.25,22900.75,22923.75
1754061300,2025-08-01 15:15:00+00:00,2025-08-01 11:15:00,22923.0,22958.5,22900.0,22903.25
1754062200,2025-08-01 15:30:00+00:00,2025-08-01 11:30:00,22902.75,22994.75,22896.25,22993.75
1754063100,2025-08-01 15:45:00+00:00,2025-08-01 11:45:00,22994.0,23017.25,22979.5,23006.75
1754064000,2025-08-01 16:00:00+00:00,2025-08-01 12:00:00,23006.5,23038.5,23000.0,23023.5
1754064900,2025-08-01 16:15:00+00:00,2025-08-01 12:15:00,23023.25,23045.5,23003.5,23008.5
1754065800,2025-08-01 16:30:00+00:00,2025-08-01 12:30:00,23008.5,23019.5,22956.25,22963.5
1754066700,2025-08-01 16:45:00+00:00,2025-08-01 12:45:00,22963.0,22983.75,22872.5,22879.25
1754067600,2025-08-01 17:00:00+00:00,2025-08-01 13:00:00,22879.0,22899.75,22853.25,22862.5
1754068500,2025-08-01 17:15:00+00:00,2025-08-01 13:15:00,22862.5,22877.25,22837.0,22850.75
1754069400,2025-08-01 17:30:00+00:00,2025-08-01 13:30:00,22850.25,22882.0,22831.5,22852.5
1754070300,2025-08-01 17:45:00+00:00,2025-08-01 13:45:00,22852.5,22874.5,22827.0,22845.0
