time,ts_utc,ts_et,open,high,low,close
1781148900,2026-06-11 03:35:00+00:00,2026-06-10 23:35:00,28662,28668.5,28657.5,28662.5
1781148960,2026-06-11 03:36:00+00:00,2026-06-10 23:36:00,28660.8,28667.8,28643.8,28646.8
1781149020,2026-06-11 03:37:00+00:00,2026-06-10 23:37:00,28647.8,28663.2,28647.8,28659.5
1781149080,2026-06-11 03:38:00+00:00,2026-06-10 23:38:00,28659,28662.2,28651.5,28662.2
1781149140,2026-06-11 03:39:00+00:00,2026-06-10 23:39:00,28660.2,28674,28660.2,28672.5
1781149200,2026-06-11 03:40:00+00:00,2026-06-10 23:40:00,28673.2,28686.2,28673.2,28680.2
1781149260,2026-06-11 03:41:00+00:00,2026-06-10 23:41:00,28678,28688.5,28673.2,28679.5
1781149320,2026-06-11 03:42:00+00:00,2026-06-10 23:42:00,28678.5,28685,28671.8,28683.2
1781149380,2026-06-11 03:43:00+00:00,2026-06-10 23:43:00,28683.5,28684.5,28673,28681
1781149440,2026-06-11 03:44:00+00:00,2026-06-10 23:44:00,28681.2,28688.5,28681.2,28685.2
1781149500,2026-06-11 03:45:00+00:00,2026-06-10 23:45:00,28688,28693,28677,28681.5
1781149560,2026-06-11 03:46:00+00:00,2026-06-10 23:46:00,28681.5,28682.5,28671,28677.2
1781149620,2026-06-11 03:47:00+00:00,2026-06-10 23:47:00,28681,28686.8,28679,28686
1781149680,2026-06-11 03:48:00+00:00,2026-06-10 23:48:00,28685.5,28686.8,28681.8,28684.8
1781149740,2026-06-11 03:49:00+00:00,2026-06-10 23:49:00,28686.5,28693.8,28679,28682
1781149800,2026-06-11 03:50:00+00:00,2026-06-10 23:50:00,28685.5,28705,28685,28702.8
1781149860,2026-06-11 03:51:00+00:00,2026-06-10 23:51:00,28700,28711.5,28699,28704.2
1781149920,2026-06-11 03:52:00+00:00,2026-06-10 23:52:00,28705,28710,28701,28710
1781149980,2026-06-11 03:53:00+00:00,2026-06-10 23:53:00,28711,28743.5,28710.2,28720.5
1781150040,2026-06-11 03:54:00+00:00,2026-06-10 23:54:00,28718.5,28724.5,28711.5,28719
